id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
0,463.59,353881.409,4610595.718,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2565,2164,1809,2064,3039,3574,3548,3829,2637,2267
1,316.48,353948.21,4610822.406,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2095,1856,1452,1744,2412,2878,2156,3062,2009,1261
2,53.3,353934.862,4610798.209,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1708,1843,1831,1616,2667,3143,3138,3120,2154,1352
3,20.45,353996.573,4610739.601,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1235,1338,1162,1625,2600,3005,3496,3266,2133,1382
4,100.1,354008.938,4610731.489,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2182,1971,2048,1877,2806,3306,3223,3414,2432,1596
5,77.66,353995.819,4610709.517,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1561,1610,1645,1796,2688,3117,2961,3320,2646,1832
6,187.53,354077.713,4610823.775,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1748,1515,1295,1705,2326,2689,2332,3048,2357,1552
7,23.55,354069.869,4610808.0,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1848,1629,1521,1496,2467,2822,2377,3034,2061,1325
8,213.54,354172.53,4610853.384,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,3155,2576,1508,1638,1841,2130,1827,2496,1842,1396
9,107.1,354052.739,4611027.357,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1826,1974,2250,2020,2632,2892,2717,3041,2628,1804
10,94.65,353970.383,4611014.122,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1907,1699,1623,1730,2454,2750,2954,3043,2716,2093
11,146.3,353991.785,4611014.558,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1914,1834,1719,1572,2424,2870,2400,3045,2058,1242
12,90.51,354464.291,4611080.544,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1890,1446,1435,1510,2025,2395,1939,2464,2050,1557
13,100.91,354377.255,4611231.836,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2106,1999,1707,2123,2962,3429,3158,3691,2673,1562
14,19.39,354387.683,4611238.302,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1419,1506,1308,1587,2416,2823,3583,3239,2534,1557
15,144.24,353312.08,4610514.356,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2609,2470,2464,2317,2853,3122,2795,3371,2979,2031
16,19.08,353209.644,4610826.375,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1494,1615,2144,2143,2286,2500,2418,2568,3203,2878
17,97.08,353220.474,4610822.554,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1857,1638,1810,1862,2126,2358,2014,2444,3296,2943
18,87.74,353131.318,4610836.072,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1782,1959,2226,1990,2157,2352,2484,2574,3058,2652
19,88.6,353050.336,4610836.96,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1663,1887,2236,2027,2227,2416,2576,2621,3109,2731
